Taxa	SY	SW	HB	RU	SA	WM	BR	CB	CM	CT	EV	GH	PH	BM	DF	DM	HI	LG	SF
84	CDBN_269_IP08_2	-848.014123297042	-63.2351854059272	NA	-2.1530049161461	0.560606672624889	NA	NA	0.940050458607145	NA	NA	2.65342728126495	-0.935756787298174	3.71202112065434	-325.116943247601	1.27379108257799	3.20429949537794	-7.25772813867368	0.319884299316585	3.83157266472318
85	CDBN_268_ICB_10	-789.454339399619	-154.783326603615	NA	NA	0.779799403485399	0.295223580607922	0.449075342191362	-3.21194283763847	-0.077090262749512	NA	0.0900672232262378	-0.609626269147087	-0.63851918020886	-430.752153712722	1.78318334080286	-0.206075946318056	-1.2194449519126	-0.968330436960387	-0.432551905422968
86	CDBN_267_Huron	-1004.92050503242	-164.764087833294	NA	-4.08607500127857	NA	-0.495447370489158	NA	2.30264012139135	NA	NA	NA	-0.606392180955487	-8.43816052359339	246.292947488214	0.840187157368769	0.793641179627924	-2.49553258378369	-0.544160720635299	1.28527796651819
87	CDBN_266_Holberg	-233.354206736099	-66.4622158495283	-0.171147028000942	-1.98672226167212	NA	2.05036271022846	-0.545710676533644	0.806962959887908	0.175884205081616	NA	NA	0.131143140940647	NA	NA	-0.535474234454778	1.98219404745482	9.17050396426558	NA	8.62124682975633
88	CDBN_265_Hatton	-568.629835218423	13.4938581888224	1.11759700624806	NA	NA	NA	NA	NA	NA	NA	NA	-0.181624785019434	NA	5.94937284527775	-3.92450026645041	-3.97467981034446	9.76441433946137	0.156825373539515	1.2846373944459
89	CDBN_264_Harold	-309.546160928101	-67.0419227750632	0.419639204379054	0.80220106830211	NA	1.26010664583661	-0.545710676533644	-0.388645214451422	0.175884205081608	NA	NA	-0.151326320097473	NA	NA	-3.4288471623045	-0.497619943081385	3.29560252608615	0.552642081040135	7.58905910810461
90	CDBN_263_Grand_Mesa	-432.578036395799	-44.7756587343146	NA	NA	0.735418124165488	NA	-0.613674895966021	2.51394805078112	0.850779921711988	-0.64391361131985	-0.278487169668213	-0.142289273715969	3.37098655260796	352.333956351573	-0.0622193280589652	-1.19759868298268	2.72543674107917	0.515563833031842	0.458945132658331
91	CDBN_262_GN9_4	-90.6980043904854	-44.4062136793983	NA	NA	1.0679693612373	NA	NA	NA	NA	NA	0.851612525868093	-0.788537654850201	9.81252784859375	380.861936379035	-0.450016609342405	1.78874585199678	-1.28071652028771	-0.996739734538883	3.64941910323378
92	CDBN_261_GN9_1	-181.662216864358	-14.1792769454345	NA	0.149472093739015	0.0764148872481104	NA	NA	NA	NA	NA	0.954691935231943	-0.364128088387624	-3.35681710324715	415.909648439786	-0.0490677449058161	-0.185543952971941	2.29514320860867	0.539477598192021	0.832653724457897
93	CDBN_260_Gala	-511.368702715581	11.4541299066289	0.528852971999076	1.36327773806636	NA	1.84061877461991	NA	1.3592620869431	NA	NA	NA	NA	NA	NA	-4.09803709710764	-3.22521154185488	4.57124126108833	NA	6.43236268252619
94	CDBN_259_Frontier	-421.674131394817	4.4363829158985	NA	-3.68607500130438	NA	0.0045526295108483	NA	2.30264012139135	NA	NA	NA	-0.852371249062015	14.9485061430732	847.018057004614	1.95681554791714	2.69244728942879	-4.34440869768631	0.150644730236474	2.16277762755727
